Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"01-03-2016","0","0","0","0"
"02-03-2016","293","22","11","315"
"03-03-2016","515","31","15","547"
"04-03-2016","152","16","9","168"
"05-03-2016","0","0","0","0"
"06-03-2016","0","0","0","0"
"07-03-2016","266","33","13","299"
"08-03-2016","634","81","40","717"
"09-03-2016","219","8","3","227"
"10-03-2016","255","18","10","274"
"11-03-2016","126","10","5","137"
"12-03-2016","388","0","0","388"
"13-03-2016","481","51","28","538"
"14-03-2016","529","30","17","559"
"15-03-2016","220","21","8","241"
"16-03-2016","162","11","12","181"
"17-03-2016","173","12","8","185"
"18-03-2016","155","10","5","165"
"19-03-2016","0","0","0","0"
"20-03-2016","311","40","20","351"
"21-03-2016","323","31","18","354"
"22-03-2016","269","20","9","289"
"23-03-2016","345","37","21","382"
"24-03-2016","354","23","16","377"
"25-03-2016","275","17","9","292"
"26-03-2016","334","17","10","351"
"27-03-2016","593","30","19","627"
"28-03-2016","437","77","32","521"
"29-03-2016","325","43","22","368"
"30-03-2016","448","29","17","477"
"31-03-2016","0","0","0","0"

